,season,dteday,cnt
0,Fall,2011-06-21,4835
1,Fall,2011-06-22,4507
2,Fall,2011-06-23,4790
3,Fall,2011-06-24,4991
4,Fall,2011-06-25,5202
5,Fall,2011-06-26,5305
6,Fall,2011-06-27,4708
7,Fall,2011-06-28,4648
8,Fall,2011-06-29,5225
9,Fall,2011-06-30,5515
10,Fall,2011-07-01,5362
11,Fall,2011-07-02,5119
12,Fall,2011-07-03,4649
13,Fall,2011-07-04,6043
14,Fall,2011-07-05,4665
15,Fall,2011-07-06,4629
16,Fall,2011-07-07,4592
17,Fall,2011-07-08,4040
18,Fall,2011-07-09,5336
19,Fall,2011-07-10,4881
20,Fall,2011-07-11,4086
21,Fall,2011-07-12,4258
22,Fall,2011-07-13,4342
23,Fall,2011-07-14,5084
24,Fall,2011-07-15,5538
25,Fall,2011-07-16,5923
26,Fall,2011-07-17,5302
27,Fall,2011-07-18,4458
28,Fall,2011-07-19,4541
29,Fall,2011-07-20,4332
30,Fall,2011-07-21,3784
31,Fall,2011-07-22,3387
32,Fall,2011-07-23,3285
33,Fall,2011-07-24,3606
34,Fall,2011-07-25,3840
35,Fall,2011-07-26,4590
36,Fall,2011-07-27,4656
37,Fall,2011-07-28,4390
38,Fall,2011-07-29,3846
39,Fall,2011-07-30,4475
40,Fall,2011-07-31,4302
41,Fall,2011-08-01,4266
42,Fall,2011-08-02,4845
43,Fall,2011-08-03,3574
44,Fall,2011-08-04,4576
45,Fall,2011-08-05,4866
46,Fall,2011-08-06,4294
47,Fall,2011-08-07,3785
48,Fall,2011-08-08,4326
49,Fall,2011-08-09,4602
50,Fall,2011-08-10,4780
51,Fall,2011-08-11,4792
52,Fall,2011-08-12,4905
53,Fall,2011-08-13,4150
54,Fall,2011-08-14,3820
55,Fall,2011-08-15,4338
56,Fall,2011-08-16,4725
57,Fall,2011-08-17,4694
58,Fall,2011-08-18,3805
59,Fall,2011-08-19,4153
60,Fall,2011-08-20,5191
61,Fall,2011-08-21,3873
62,Fall,2011-08-22,4758
63,Fall,2011-08-23,5895
64,Fall,2011-08-24,5130
65,Fall,2011-08-25,3542
66,Fall,2011-08-26,4661
67,Fall,2011-08-27,1115
68,Fall,2011-08-28,4334
69,Fall,2011-08-29,4634
70,Fall,2011-08-30,5204
71,Fall,2011-08-31,5058
72,Fall,2011-09-01,5115
73,Fall,2011-09-02,4727
74,Fall,2011-09-03,4484
75,Fall,2011-09-04,4940
76,Fall,2011-09-05,3351
77,Fall,2011-09-06,2710
78,Fall,2011-09-07,1996
79,Fall,2011-09-08,1842
80,Fall,2011-09-09,3544
81,Fall,2011-09-10,5345
82,Fall,2011-09-11,5046
83,Fall,2011-09-12,4713
84,Fall,2011-09-13,4763
85,Fall,2011-09-14,4785
86,Fall,2011-09-15,3659
87,Fall,2011-09-16,4760
88,Fall,2011-09-17,4511
89,Fall,2011-09-18,4274
90,Fall,2011-09-19,4539
91,Fall,2011-09-20,3641
92,Fall,2011-09-21,4352
93,Fall,2011-09-22,4795
94,Fall,2012-06-21,5905
95,Fall,2012-06-22,5823
96,Fall,2012-06-23,7458
97,Fall,2012-06-24,6891
98,Fall,2012-06-25,6779
99,Fall,2012-06-26,7442
100,Fall,2012-06-27,7335
101,Fall,2012-06-28,6879
102,Fall,2012-06-29,5463
103,Fall,2012-06-30,5687
104,Fall,2012-07-01,5531
105,Fall,2012-07-02,6227
106,Fall,2012-07-03,6660
107,Fall,2012-07-04,7403
108,Fall,2012-07-05,6241
109,Fall,2012-07-06,6207
110,Fall,2012-07-07,4840
111,Fall,2012-07-08,4672
112,Fall,2012-07-09,6569
113,Fall,2012-07-10,6290
114,Fall,2012-07-11,7264
115,Fall,2012-07-12,7446
116,Fall,2012-07-13,7499
117,Fall,2012-07-14,6969
118,Fall,2012-07-15,6031
119,Fall,2012-07-16,6830
120,Fall,2012-07-17,6786
121,Fall,2012-07-18,5713
122,Fall,2012-07-19,6591
123,Fall,2012-07-20,5870
124,Fall,2012-07-21,4459
125,Fall,2012-07-22,7410
126,Fall,2012-07-23,6966
127,Fall,2012-07-24,7592
128,Fall,2012-07-25,8173
129,Fall,2012-07-26,6861
130,Fall,2012-07-27,6904
131,Fall,2012-07-28,6685
132,Fall,2012-07-29,6597
133,Fall,2012-07-30,7105
134,Fall,2012-07-31,7216
135,Fall,2012-08-01,7580
136,Fall,2012-08-02,7261
137,Fall,2012-08-03,7175
138,Fall,2012-08-04,6824
139,Fall,2012-08-05,5464
140,Fall,2012-08-06,7013
141,Fall,2012-08-07,7273
142,Fall,2012-08-08,7534
143,Fall,2012-08-09,7286
144,Fall,2012-08-10,5786
145,Fall,2012-08-11,6299
146,Fall,2012-08-12,6544
147,Fall,2012-08-13,6883
148,Fall,2012-08-14,6784
149,Fall,2012-08-15,7347
150,Fall,2012-08-16,7605
151,Fall,2012-08-17,7148
152,Fall,2012-08-18,7865
153,Fall,2012-08-19,4549
154,Fall,2012-08-20,6530
155,Fall,2012-08-21,7006
156,Fall,2012-08-22,7375
157,Fall,2012-08-23,7765
158,Fall,2012-08-24,7582
159,Fall,2012-08-25,6053
160,Fall,2012-08-26,5255
161,Fall,2012-08-27,6917
162,Fall,2012-08-28,7040
163,Fall,2012-08-29,7697
164,Fall,2012-08-30,7713
165,Fall,2012-08-31,7350
166,Fall,2012-09-01,6140
167,Fall,2012-09-02,5810
168,Fall,2012-09-03,6034
169,Fall,2012-09-04,6864
170,Fall,2012-09-05,7112
171,Fall,2012-09-06,6203
172,Fall,2012-09-07,7504
173,Fall,2012-09-08,5976
174,Fall,2012-09-09,8227
175,Fall,2012-09-10,7525
176,Fall,2012-09-11,7767
177,Fall,2012-09-12,7870
178,Fall,2012-09-13,7804
179,Fall,2012-09-14,8009
180,Fall,2012-09-15,8714
181,Fall,2012-09-16,7333
182,Fall,2012-09-17,6869
183,Fall,2012-09-18,4073
184,Fall,2012-09-19,7591
185,Fall,2012-09-20,7720
186,Fall,2012-09-21,8167
187,Fall,2012-09-22,8395
188,Spring,2011-01-01,985
189,Spring,2011-01-02,801
190,Spring,2011-01-03,1349
191,Spring,2011-01-04,1562
192,Spring,2011-01-05,1600
193,Spring,2011-01-06,1606
194,Spring,2011-01-07,1510
195,Spring,2011-01-08,959
196,Spring,2011-01-09,822
197,Spring,2011-01-10,1321
198,Spring,2011-01-11,1263
199,Spring,2011-01-12,1162
200,Spring,2011-01-13,1406
201,Spring,2011-01-14,1421
202,Spring,2011-01-15,1248
203,Spring,2011-01-16,1204
204,Spring,2011-01-17,1000
205,Spring,2011-01-18,683
206,Spring,2011-01-19,1650
207,Spring,2011-01-20,1927
208,Spring,2011-01-21,1543
209,Spring,2011-01-22,981
210,Spring,2011-01-23,986
211,Spring,2011-01-24,1416
212,Spring,2011-01-25,1985
213,Spring,2011-01-26,506
214,Spring,2011-01-27,431
215,Spring,2011-01-28,1167
216,Spring,2011-01-29,1098
217,Spring,2011-01-30,1096
218,Spring,2011-01-31,1501
219,Spring,2011-02-01,1360
220,Spring,2011-02-02,1526
221,Spring,2011-02-03,1550
222,Spring,2011-02-04,1708
223,Spring,2011-02-05,1005
224,Spring,2011-02-06,1623
225,Spring,2011-02-07,1712
226,Spring,2011-02-08,1530
227,Spring,2011-02-09,1605
228,Spring,2011-02-10,1538
229,Spring,2011-02-11,1746
230,Spring,2011-02-12,1472
231,Spring,2011-02-13,1589
232,Spring,2011-02-14,1913
233,Spring,2011-02-15,1815
234,Spring,2011-02-16,2115
235,Spring,2011-02-17,2475
236,Spring,2011-02-18,2927
237,Spring,2011-02-19,1635
238,Spring,2011-02-20,1812
239,Spring,2011-02-21,1107
240,Spring,2011-02-22,1450
241,Spring,2011-02-23,1917
242,Spring,2011-02-24,1807
243,Spring,2011-02-25,1461
244,Spring,2011-02-26,1969
245,Spring,2011-02-27,2402
246,Spring,2011-02-28,1446
247,Spring,2011-03-01,1851
248,Spring,2011-03-02,2134
249,Spring,2011-03-03,1685
250,Spring,2011-03-04,1944
251,Spring,2011-03-05,2077
252,Spring,2011-03-06,605
253,Spring,2011-03-07,1872
254,Spring,2011-03-08,2133
255,Spring,2011-03-09,1891
256,Spring,2011-03-10,623
257,Spring,2011-03-11,1977
258,Spring,2011-03-12,2132
259,Spring,2011-03-13,2417
260,Spring,2011-03-14,2046
261,Spring,2011-03-15,2056
262,Spring,2011-03-16,2192
263,Spring,2011-03-17,2744
264,Spring,2011-03-18,3239
265,Spring,2011-03-19,3117
266,Spring,2011-03-20,2471
267,Spring,2011-12-21,2660
268,Spring,2011-12-22,3068
269,Spring,2011-12-23,2209
270,Spring,2011-12-24,1011
271,Spring,2011-12-25,754
272,Spring,2011-12-26,1317
273,Spring,2011-12-27,1162
274,Spring,2011-12-28,2302
275,Spring,2011-12-29,2423
276,Spring,2011-12-30,2999
277,Spring,2011-12-31,2485
278,Spring,2012-01-01,2294
279,Spring,2012-01-02,1951
280,Spring,2012-01-03,2236
281,Spring,2012-01-04,2368
282,Spring,2012-01-05,3272
283,Spring,2012-01-06,4098
284,Spring,2012-01-07,4521
285,Spring,2012-01-08,3425
286,Spring,2012-01-09,2376
287,Spring,2012-01-10,3598
288,Spring,2012-01-11,2177
289,Spring,2012-01-12,4097
290,Spring,2012-01-13,3214
291,Spring,2012-01-14,2493
292,Spring,2012-01-15,2311
293,Spring,2012-01-16,2298
294,Spring,2012-01-17,2935
295,Spring,2012-01-18,3376
296,Spring,2012-01-19,3292
297,Spring,2012-01-20,3163
298,Spring,2012-01-21,1301
299,Spring,2012-01-22,1977
300,Spring,2012-01-23,2432
301,Spring,2012-01-24,4339
302,Spring,2012-01-25,4270
303,Spring,2012-01-26,4075
304,Spring,2012-01-27,3456
305,Spring,2012-01-28,4023
306,Spring,2012-01-29,3243
307,Spring,2012-01-30,3624
308,Spring,2012-01-31,4509
309,Spring,2012-02-01,4579
310,Spring,2012-02-02,3761
311,Spring,2012-02-03,4151
312,Spring,2012-02-04,2832
313,Spring,2012-02-05,2947
314,Spring,2012-02-06,3784
315,Spring,2012-02-07,4375
316,Spring,2012-02-08,2802
317,Spring,2012-02-09,3830
318,Spring,2012-02-10,3831
319,Spring,2012-02-11,2169
320,Spring,2012-02-12,1529
321,Spring,2012-02-13,3422
322,Spring,2012-02-14,3922
323,Spring,2012-02-15,4169
324,Spring,2012-02-16,3005
325,Spring,2012-02-17,4154
326,Spring,2012-02-18,4318
327,Spring,2012-02-19,2689
328,Spring,2012-02-20,3129
329,Spring,2012-02-21,3777
330,Spring,2012-02-22,4773
331,Spring,2012-02-23,5062
332,Spring,2012-02-24,3487
333,Spring,2012-02-25,2732
334,Spring,2012-02-26,3389
335,Spring,2012-02-27,4322
336,Spring,2012-02-28,4363
337,Spring,2012-02-29,1834
338,Spring,2012-03-01,4990
339,Spring,2012-03-02,3194
340,Spring,2012-03-03,4066
341,Spring,2012-03-04,3423
342,Spring,2012-03-05,3333
343,Spring,2012-03-06,3956
344,Spring,2012-03-07,4916
345,Spring,2012-03-08,5382
346,Spring,2012-03-09,4569
347,Spring,2012-03-10,4118
348,Spring,2012-03-11,4911
349,Spring,2012-03-12,5298
350,Spring,2012-03-13,5847
351,Spring,2012-03-14,6312
352,Spring,2012-03-15,6192
353,Spring,2012-03-16,4378
354,Spring,2012-03-17,7836
355,Spring,2012-03-18,5892
356,Spring,2012-03-19,6153
357,Spring,2012-03-20,6093
358,Spring,2012-12-21,3623
359,Spring,2012-12-22,1749
360,Spring,2012-12-23,1787
361,Spring,2012-12-24,920
362,Spring,2012-12-25,1013
363,Spring,2012-12-26,441
364,Spring,2012-12-27,2114
365,Spring,2012-12-28,3095
366,Spring,2012-12-29,1341
367,Spring,2012-12-30,1796
368,Spring,2012-12-31,2729
369,Summer,2011-03-21,2077
370,Summer,2011-03-22,2703
371,Summer,2011-03-23,2121
372,Summer,2011-03-24,1865
373,Summer,2011-03-25,2210
374,Summer,2011-03-26,2496
375,Summer,2011-03-27,1693
376,Summer,2011-03-28,2028
377,Summer,2011-03-29,2425
378,Summer,2011-03-30,1536
379,Summer,2011-03-31,1685
380,Summer,2011-04-01,2227
381,Summer,2011-04-02,2252
382,Summer,2011-04-03,3249
383,Summer,2011-04-04,3115
384,Summer,2011-04-05,1795
385,Summer,2011-04-06,2808
386,Summer,2011-04-07,3141
387,Summer,2011-04-08,1471
388,Summer,2011-04-09,2455
389,Summer,2011-04-10,2895
390,Summer,2011-04-11,3348
391,Summer,2011-04-12,2034
392,Summer,2011-04-13,2162
393,Summer,2011-04-14,3267
394,Summer,2011-04-15,3126
395,Summer,2011-04-16,795
396,Summer,2011-04-17,3744
397,Summer,2011-04-18,3429
398,Summer,2011-04-19,3204
399,Summer,2011-04-20,3944
400,Summer,2011-04-21,4189
401,Summer,2011-04-22,1683
402,Summer,2011-04-23,4036
403,Summer,2011-04-24,4191
404,Summer,2011-04-25,4073
405,Summer,2011-04-26,4400
406,Summer,2011-04-27,3872
407,Summer,2011-04-28,4058
408,Summer,2011-04-29,4595
409,Summer,2011-04-30,5312
410,Summer,2011-05-01,3351
411,Summer,2011-05-02,4401
412,Summer,2011-05-03,4451
413,Summer,2011-05-04,2633
414,Summer,2011-05-05,4433
415,Summer,2011-05-06,4608
416,Summer,2011-05-07,4714
417,Summer,2011-05-08,4333
418,Summer,2011-05-09,4362
419,Summer,2011-05-10,4803
420,Summer,2011-05-11,4182
421,Summer,2011-05-12,4864
422,Summer,2011-05-13,4105
423,Summer,2011-05-14,3409
424,Summer,2011-05-15,4553
425,Summer,2011-05-16,3958
426,Summer,2011-05-17,4123
427,Summer,2011-05-18,3855
428,Summer,2011-05-19,4575
429,Summer,2011-05-20,4917
430,Summer,2011-05-21,5805
431,Summer,2011-05-22,4660
432,Summer,2011-05-23,4274
433,Summer,2011-05-24,4492
434,Summer,2011-05-25,4978
435,Summer,2011-05-26,4677
436,Summer,2011-05-27,4679
437,Summer,2011-05-28,4758
438,Summer,2011-05-29,4788
439,Summer,2011-05-30,4098
440,Summer,2011-05-31,3982
441,Summer,2011-06-01,3974
442,Summer,2011-06-02,4968
443,Summer,2011-06-03,5312
444,Summer,2011-06-04,5342
445,Summer,2011-06-05,4906
446,Summer,2011-06-06,4548
447,Summer,2011-06-07,4833
448,Summer,2011-06-08,4401
449,Summer,2011-06-09,3915
450,Summer,2011-06-10,4586
451,Summer,2011-06-11,4966
452,Summer,2011-06-12,4460
453,Summer,2011-06-13,5020
454,Summer,2011-06-14,4891
455,Summer,2011-06-15,5180
456,Summer,2011-06-16,3767
457,Summer,2011-06-17,4844
458,Summer,2011-06-18,5119
459,Summer,2011-06-19,4744
460,Summer,2011-06-20,4010
461,Summer,2012-03-21,6230
462,Summer,2012-03-22,6871
463,Summer,2012-03-23,8362
464,Summer,2012-03-24,3372
465,Summer,2012-03-25,4996
466,Summer,2012-03-26,5558
467,Summer,2012-03-27,5102
468,Summer,2012-03-28,5698
469,Summer,2012-03-29,6133
470,Summer,2012-03-30,5459
471,Summer,2012-03-31,6235
472,Summer,2012-04-01,6041
473,Summer,2012-04-02,5936
474,Summer,2012-04-03,6772
475,Summer,2012-04-04,6436
476,Summer,2012-04-05,6457
477,Summer,2012-04-06,6460
478,Summer,2012-04-07,6857
479,Summer,2012-04-08,5169
480,Summer,2012-04-09,5585
481,Summer,2012-04-10,5918
482,Summer,2012-04-11,4862
483,Summer,2012-04-12,5409
484,Summer,2012-04-13,6398
485,Summer,2012-04-14,7460
486,Summer,2012-04-15,7132
487,Summer,2012-04-16,6370
488,Summer,2012-04-17,6691
489,Summer,2012-04-18,4367
490,Summer,2012-04-19,6565
491,Summer,2012-04-20,7290
492,Summer,2012-04-21,6624
493,Summer,2012-04-22,1027
494,Summer,2012-04-23,3214
495,Summer,2012-04-24,5633
496,Summer,2012-04-25,6196
497,Summer,2012-04-26,5026
498,Summer,2012-04-27,6233
499,Summer,2012-04-28,4220
500,Summer,2012-04-29,6304
501,Summer,2012-04-30,5572
502,Summer,2012-05-01,5740
503,Summer,2012-05-02,6169
504,Summer,2012-05-03,6421
505,Summer,2012-05-04,6296
506,Summer,2012-05-05,6883
507,Summer,2012-05-06,6359
508,Summer,2012-05-07,6273
509,Summer,2012-05-08,5728
510,Summer,2012-05-09,4717
511,Summer,2012-05-10,6572
512,Summer,2012-05-11,7030
513,Summer,2012-05-12,7429
514,Summer,2012-05-13,6118
515,Summer,2012-05-14,2843
516,Summer,2012-05-15,5115
517,Summer,2012-05-16,7424
518,Summer,2012-05-17,7384
519,Summer,2012-05-18,7639
520,Summer,2012-05-19,8294
521,Summer,2012-05-20,7129
522,Summer,2012-05-21,4359
523,Summer,2012-05-22,6073
524,Summer,2012-05-23,5260
525,Summer,2012-05-24,6770
526,Summer,2012-05-25,6734
527,Summer,2012-05-26,6536
528,Summer,2012-05-27,6591
529,Summer,2012-05-28,6043
530,Summer,2012-05-29,5743
531,Summer,2012-05-30,6855
532,Summer,2012-05-31,7338
533,Summer,2012-06-01,4127
534,Summer,2012-06-02,8120
535,Summer,2012-06-03,7641
536,Summer,2012-06-04,6998
537,Summer,2012-06-05,7001
538,Summer,2012-06-06,7055
539,Summer,2012-06-07,7494
540,Summer,2012-06-08,7736
541,Summer,2012-06-09,7498
542,Summer,2012-06-10,6598
543,Summer,2012-06-11,6664
544,Summer,2012-06-12,4972
545,Summer,2012-06-13,7421
546,Summer,2012-06-14,7363
547,Summer,2012-06-15,7665
548,Summer,2012-06-16,7702
549,Summer,2012-06-17,6978
550,Summer,2012-06-18,5099
551,Summer,2012-06-19,6825
552,Summer,2012-06-20,6211
553,Winter,2011-09-23,2395
554,Winter,2011-09-24,5423
555,Winter,2011-09-25,5010
556,Winter,2011-09-26,4630
557,Winter,2011-09-27,4120
558,Winter,2011-09-28,3907
559,Winter,2011-09-29,4839
560,Winter,2011-09-30,5202
561,Winter,2011-10-01,2429
562,Winter,2011-10-02,2918
563,Winter,2011-10-03,3570
564,Winter,2011-10-04,4456
565,Winter,2011-10-05,4826
566,Winter,2011-10-06,4765
567,Winter,2011-10-07,4985
568,Winter,2011-10-08,5409
569,Winter,2011-10-09,5511
570,Winter,2011-10-10,5117
571,Winter,2011-10-11,4563
572,Winter,2011-10-12,2416
573,Winter,2011-10-13,2913
574,Winter,2011-10-14,3644
575,Winter,2011-10-15,5217
576,Winter,2011-10-16,5041
577,Winter,2011-10-17,4570
578,Winter,2011-10-18,4748
579,Winter,2011-10-19,2424
580,Winter,2011-10-20,4195
581,Winter,2011-10-21,4304
582,Winter,2011-10-22,4308
583,Winter,2011-10-23,4381
584,Winter,2011-10-24,4187
585,Winter,2011-10-25,4687
586,Winter,2011-10-26,3894
587,Winter,2011-10-27,2659
588,Winter,2011-10-28,3747
589,Winter,2011-10-29,627
590,Winter,2011-10-30,3331
591,Winter,2011-10-31,3669
592,Winter,2011-11-01,4068
593,Winter,2011-11-02,4186
594,Winter,2011-11-03,3974
595,Winter,2011-11-04,4046
596,Winter,2011-11-05,3926
597,Winter,2011-11-06,3649
598,Winter,2011-11-07,4035
599,Winter,2011-11-08,4205
600,Winter,2011-11-09,4109
601,Winter,2011-11-10,2933
602,Winter,2011-11-11,3368
603,Winter,2011-11-12,4067
604,Winter,2011-11-13,3717
605,Winter,2011-11-14,4486
606,Winter,2011-11-15,4195
607,Winter,2011-11-16,1817
608,Winter,2011-11-17,3053
609,Winter,2011-11-18,3392
610,Winter,2011-11-19,3663
611,Winter,2011-11-20,3520
612,Winter,2011-11-21,2765
613,Winter,2011-11-22,1607
614,Winter,2011-11-23,2566
615,Winter,2011-11-24,1495
616,Winter,2011-11-25,2792
617,Winter,2011-11-26,3068
618,Winter,2011-11-27,3071
619,Winter,2011-11-28,3867
620,Winter,2011-11-29,2914
621,Winter,2011-11-30,3613
622,Winter,2011-12-01,3727
623,Winter,2011-12-02,3940
624,Winter,2011-12-03,3614
625,Winter,2011-12-04,3485
626,Winter,2011-12-05,3811
627,Winter,2011-12-06,2594
628,Winter,2011-12-07,705
629,Winter,2011-12-08,3322
630,Winter,2011-12-09,3620
631,Winter,2011-12-10,3190
632,Winter,2011-12-11,2743
633,Winter,2011-12-12,3310
634,Winter,2011-12-13,3523
635,Winter,2011-12-14,3740
636,Winter,2011-12-15,3709
637,Winter,2011-12-16,3577
638,Winter,2011-12-17,2739
639,Winter,2011-12-18,2431
640,Winter,2011-12-19,3403
641,Winter,2011-12-20,3750
642,Winter,2012-09-23,7907
643,Winter,2012-09-24,7436
644,Winter,2012-09-25,7538
645,Winter,2012-09-26,7733
646,Winter,2012-09-27,7393
647,Winter,2012-09-28,7415
648,Winter,2012-09-29,8555
649,Winter,2012-09-30,6889
650,Winter,2012-10-01,6778
651,Winter,2012-10-02,4639
652,Winter,2012-10-03,7572
653,Winter,2012-10-04,7328
654,Winter,2012-10-05,8156
655,Winter,2012-10-06,7965
656,Winter,2012-10-07,3510
657,Winter,2012-10-08,5478
658,Winter,2012-10-09,6392
659,Winter,2012-10-10,7691
660,Winter,2012-10-11,7570
661,Winter,2012-10-12,7282
662,Winter,2012-10-13,7109
663,Winter,2012-10-14,6639
664,Winter,2012-10-15,5875
665,Winter,2012-10-16,7534
666,Winter,2012-10-17,7461
667,Winter,2012-10-18,7509
668,Winter,2012-10-19,5424
669,Winter,2012-10-20,8090
670,Winter,2012-10-21,6824
671,Winter,2012-10-22,7058
672,Winter,2012-10-23,7466
673,Winter,2012-10-24,7693
674,Winter,2012-10-25,7359
675,Winter,2012-10-26,7444
676,Winter,2012-10-27,7852
677,Winter,2012-10-28,4459
678,Winter,2012-10-29,22
679,Winter,2012-10-30,1096
680,Winter,2012-10-31,5566
681,Winter,2012-11-01,5986
682,Winter,2012-11-02,5847
683,Winter,2012-11-03,5138
684,Winter,2012-11-04,5107
685,Winter,2012-11-05,5259
686,Winter,2012-11-06,5686
687,Winter,2012-11-07,5035
688,Winter,2012-11-08,5315
689,Winter,2012-11-09,5992
690,Winter,2012-11-10,6536
691,Winter,2012-11-11,6852
692,Winter,2012-11-12,6269
693,Winter,2012-11-13,4094
694,Winter,2012-11-14,5495
695,Winter,2012-11-15,5445
696,Winter,2012-11-16,5698
697,Winter,2012-11-17,5629
698,Winter,2012-11-18,4669
699,Winter,2012-11-19,5499
700,Winter,2012-11-20,5634
701,Winter,2012-11-21,5146
702,Winter,2012-11-22,2425
703,Winter,2012-11-23,3910
704,Winter,2012-11-24,2277
705,Winter,2012-11-25,2424
706,Winter,2012-11-26,5087
707,Winter,2012-11-27,3959
708,Winter,2012-11-28,5260
709,Winter,2012-11-29,5323
710,Winter,2012-11-30,5668
711,Winter,2012-12-01,5191
712,Winter,2012-12-02,4649
713,Winter,2012-12-03,6234
714,Winter,2012-12-04,6606
715,Winter,2012-12-05,5729
716,Winter,2012-12-06,5375
717,Winter,2012-12-07,5008
718,Winter,2012-12-08,5582
719,Winter,2012-12-09,3228
720,Winter,2012-12-10,5170
721,Winter,2012-12-11,5501
722,Winter,2012-12-12,5319
723,Winter,2012-12-13,5532
724,Winter,2012-12-14,5611
725,Winter,2012-12-15,5047
726,Winter,2012-12-16,3786
727,Winter,2012-12-17,4585
728,Winter,2012-12-18,5557
729,Winter,2012-12-19,5267
730,Winter,2012-12-20,4128
